_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e9c367daf4e101ebea7ef9",919086,112783,195.0,1.0,18,1615843,919078,1615843,"StoreItem","LargeCanoeItem",919078,"1533,65,676",8.0,200680
"67e9c369daf4e101ebea7f12",526279,112783,40.0,8.0,18,624455,526270,624455,"StoreItem","ElkCarcassItem",526270,"127,75,446",16.0,200885
"67e9c386daf4e101ebea80f3",3304,112783,7.0,2.0,18,362203,1664,362203,"StoreItem","JungleCampfireSaladItem",1664,"813,71,731",20.0,199520
"67e9c387daf4e101ebea8104",1615851,112783,75.199996948,40.0,18,484905,1604445,484905,"StoreItem","RawRoastItem",1604445,"1406,70,612",4.0,198606
"67e9c3a3daf4e101ebea82f0",356345,112783,250.0,2.0,18,481271,356337,481271,"StoreItem","ClaimPaperItem",356337,"825,71,846",4.0,201531
"67e9c3c4daf4e101ebea8506",3181414,112783,500.0,4.0,18,481271,3181406,481271,"StoreItem","ClaimPaperItem",3181406,"825,71,846",10.0,201435
"67e9c3e8daf4e101ebea86f5",541340,112783,60.0,4.0,18,1486689,353194,1486689,"StoreItem","WoodenHullPlanksItem",353194,"1551,66,114",12.0,201426
"67e9c433daf4e101ebea8bb8",816562,112783,300.0,10.0,19,362211,362211,816554,"StoreItem","GatheringResearchPaperBasicItem",816554,"818,71,771",6.0,198917
"67e9c482daf4e101ebea90f4",522429,112783,135.0,135.0,19,542521,542521,522421,"StoreItem","HewnLogItem",522421,"170,68,828",7.0,200983
"67e9c4a1daf4e101ebea9307",830295,112783,37.5,30.0,18,1271484,830287,1271484,"StoreItem","CharredMeatItem",830287,"829,69,228",1.0,198371
"67e9c4bcdaf4e101ebea94a2",2975216,112783,120.0,3.0,18,111758,2975207,111758,"StoreItem","DendrologyResearchPaperAdvancedItem",2975207,"1448,71,67",3.0,201196
"67e9c4ecdaf4e101ebea9842",627830,112783,5.700000286,19.0,19,899423,899423,627822,"StoreItem","CrushedGraniteItem",627822,"122,66,208",2.0,200543
"67e9c4fddaf4e101ebea99c7",587827,112783,6.300000191,63.0,19,487523,487523,587819,"StoreItem","ClayItem",587819,"1231,66,585",11.0,200373
"67e9c506daf4e101ebea9a4f",481489,112783,3.5,1.0,18,356337,481483,356337,"StoreItem","ToppedPorridgeItem",481483,"554,71,811",3.0,199706
"67e9c509daf4e101ebea9a76",2918024,112783,240.0,3.0,18,495855,2918015,495855,"StoreItem","GardenPondItem",2918015,"914,69,155",32.0,201543
"67e9c57ddaf4e101ebeaa2f5",483093,112783,300.0,1.0,18,481271,483085,481271,"StoreItem","LargeCanoeItem",483085,"1523,72,137",1.0,198591
"67e9c59adaf4e101ebeaa50b",1486697,112783,235.0,1.0,18,1615843,1486689,1615843,"StoreItem","BasicUpgradeLvl2Item",1486689,"1533,65,676",8.0,201447
"67e9c5b2daf4e101ebeaa6ce",2986183,112783,18.0,1.0,18,661525,2986175,661525,"StoreItem","FarmersTableItem",2986175,"1341,78,651",3.0,199434
"67e9c60fdaf4e101ebeaad60",357001,112783,100.0,1.0,18,362211,356993,362211,"StoreItem","LimestoneBisonStatueItem",356993,"1418,72,73",11.0,200527
"67e9c61ddaf4e101ebeaae87",1615851,112783,50.0,2.0,18,487523,1603027,487523,"StoreItem","LargeStandingMortaredSandstoneSignItem",1603027,"1277,72,688",2.0,198751
"67e9c673daf4e101ebeab57c",481292,112783,42.0,12.0,18,482191,481279,482191,"StoreItem","FriedTomatoesItem",481279,"857,72,108",15.0,201365
